이름,학년,신앙배경,코어,외톨이,출석상태
한준민,고1,모태,N,N,활발
안우윤,중1,일반,Y,N,활발
류예빈,고1,일반,Y,N,활발
윤서영,중2,모태,Y,N,느슨
강예은,중2,일반,Y,Y,활발
송재우,중3,비신앙,N,N,활발
윤지시,중3,비신앙,N,N,위기
최선준,중1,모태,N,N,위기
박영우,중2,모태,N,N,활발
박하준,고1,모태,N,N,느슨
권은원,고3,모태,N,N,느슨
황서수,고2,모태,Y,N,느슨
박현연,중3,모태,Y,N,활발
신윤원,고3,모태,Y,N,활발
황태하,중2,모태,N,N,느슨
정정호,고3,일반,N,N,느슨
송주민,중3,모태,N,Y,활발
조성율,중1,일반,Y,N,활발
오경호,중1,모태,N,N,위기
전윤준,중1,비신앙,N,N,느슨
박준우,고2,일반,N,N,활발
조선채,중1,일반,Y,N,위기
박정린,중3,비신앙,N,N,느슨
안시빈,고1,일반,N,N,활발
서도은,중3,모태,Y,Y,활발
장우안,중3,비신앙,N,N,활발
윤예빈,중3,모태,N,N,느슨
김유안,고2,모태,N,N,느슨
조유하,중3,일반,Y,N,활발
권주연,고2,모태,Y,Y,위기
홍준준,고1,모태,N,Y,활발
홍예은,고2,모태,N,N,느슨
김하수,중2,모태,N,N,활발
정서안,고3,일반,N,N,느슨
안준우,중1,일반,N,N,느슨
정현지,중3,일반,N,N,활발
송유우,고3,모태,Y,Y,활발
권영호,고2,비신앙,N,N,느슨
안우도,중3,일반,N,N,느슨
장영은,고2,모태,Y,N,활발
윤재아,중2,모태,Y,N,느슨
홍수채,중1,비신앙,N,N,위기
서유율,고3,일반,Y,N,활발
한재은,중2,모태,N,N,활발
김주주,중3,모태,N,Y,위기
윤예연,중2,모태,N,N,활발
신수린,중3,일반,N,N,활발
장서하,중3,모태,N,N,느슨
박경빈,중1,비신앙,N,N,느슨
장경영,중1,일반,N,N,활발
강우시,고1,일반,Y,N,활발
장윤호,고3,모태,Y,N,위기
안유예,고3,모태,N,N,활발
서선시,고1,비신앙,N,N,느슨
홍준민,고3,비신앙,N,Y,느슨
장재율,중1,일반,N,N,위기
전도현,중1,모태,Y,Y,활발
한영우,중2,비신앙,N,N,활발
서지준,중2,일반,Y,N,활발
박준민,고1,일반,N,N,활발
안준원,고2,일반,N,N,느슨
정서호,고1,일반,N,Y,느슨
안태호,고2,일반,N,N,느슨
윤지호,중1,일반,N,N,활발
이혜호,고1,일반,N,Y,위기
안영연,고1,모태,N,N,활발
장도수,중2,일반,N,N,활발
임서은,중1,모태,Y,N,활발
류준준,중3,일반,N,Y,활발
황은은,중2,일반,N,N,활발
임지준,중1,일반,N,N,활발
장주수,고3,비신앙,Y,Y,느슨
장윤영,고1,일반,Y,Y,활발
황유민,중1,모태,N,N,활발
정재안,중2,모태,N,N,활발
서예은,고2,비신앙,N,N,활발
류지채,고3,일반,N,N,활발
임혜지,중2,모태,N,N,활발
신민민,고3,비신앙,N,N,활발
신성영,고1,모태,Y,N,활발
황재주,중2,모태,N,N,활발
윤은준,고1,일반,Y,N,활발
황영빈,중3,모태,N,N,활발
윤지하,중2,모태,Y,N,활발
김재원,중3,일반,N,N,활발
장태채,중1,일반,N,N,활발
장도원,중3,일반,N,N,느슨
김준윤,중3,일반,N,N,활발
박주은,고2,비신앙,Y,Y,활발
안수우,고3,일반,N,N,활발
송서준,고2,모태,N,N,활발
정혜린,중3,일반,N,Y,활발
류우원,중2,일반,Y,N,위기
장시예,중3,모태,Y,N,활발
임서호,중1,비신앙,N,Y,활발
신윤빈,중3,일반,N,N,활발
김은호,중1,일반,Y,N,활발
권도린,고2,모태,N,N,활발
윤유준,고3,모태,N,N,활발
김경지,중3,일반,Y,N,활발
한예연,고3,모태,Y,N,활발
이은원,고2,비신앙,N,Y,활발
박윤준,고3,모태,N,N,활발
임재연,중1,일반,N,N,활발
오유호,고1,모태,N,N,활발
권지서,중2,일반,N,N,활발
전서린,고2,일반,N,N,느슨
전혜아,중1,모태,N,N,위기
서하서,고2,모태,N,Y,위기
임정지,고1,모태,N,N,느슨
박선은,중3,모태,N,N,활발
송시율,고3,비신앙,N,N,활발
